LoggerLight version 1.3.0, 7/18/2018 9:17:42 AM, rapid sampling mode. Time is number of seconds past midnight of 7/18/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.549521E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
33475.68,0.5112523,8.38877,18.8942,235.5251,23.33424,-9.538534E-03,9.638247,18.73438,0.5678728,9.047012,20.38025,247.1274,9.595788,19.71094,
33475.98,0.5844566,9.134642,20.06664,250.6845,23.36449,-4.256026E-02,9.638247,18.73438,0.5668105,9.028548,20.32878,246.2536,9.595788,19.71094,
33476.28,0.6188893,9.709147,21.32471,264.4277,23.33618,-4.299603E-02,9.638247,18.73438,0.5679048,9.03899,20.37329,246.9273,9.595788,19.71094,
33476.57,0.6181358,9.745963,21.36827,262.6322,23.33953,-5.253457E-02,9.638247,18.73438,0.568495,9.04751,20.40175,247.9747,9.595788,19.71094,
33476.86,0.6188676,9.738085,21.35543,262.9657,23.34702,-4.953259E-02,9.638247,18.73438,0.5669885,9.032176,20.32848,246.4217,9.595788,19.71094,
33477.14,0.6239944,9.848218,21.58839,265.0922,23.32383,-5.626282E-02,9.638247,18.73438,0.5670566,9.031278,20.32872,245.9434,9.595788,19.71094,
33477.43,0.6215349,9.821266,21.70639,271.4657,23.3207,-4.565907E-02,9.638247,18.73438,0.568317,9.047699,20.38094,247.2275,9.595788,19.71094,
33477.71,0.6233186,9.830599,21.55216,265.0516,23.3236,-4.236659E-02,9.638247,18.73438,0.5688291,9.050748,20.39071,247.7592,9.595788,19.71094,
33478.01,0.6205465,9.780576,21.42503,263.1688,23.32839,-2.406422E-02,9.638247,18.73438,0.5679929,9.048414,20.38802,247.7923,9.595788,19.71094,
33478.3,0.6244914,9.849537,21.71942,271.1088,23.36692,-2.914821E-02,9.638247,18.73438,0.5676568,9.041817,20.36266,247.5259,9.595788,19.71094,
