LoggerLight version 1.3.0, 7/26/2018 11:43:39 AM, rapid sampling mode. Time is number of seconds past midnight of 7/26/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,0.0553608,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
42240.45,3.207467,19.46311,46.01558,987.9435,21.64566,-0.323487,9.617018,19.22266,3.044608,18.62288,42.04804,810.7068,9.595788,21.17579,
42240.75,3.289787,19.91878,47.18052,1015.582,21.62636,-0.3053299,9.617018,19.22266,3.036272,18.56845,41.82083,805.5353,9.595788,21.17579,
42241.06,3.1861,19.31702,45.54298,975.4368,21.63719,-0.3293457,9.617018,19.22266,3.023072,18.47679,41.53283,796.2533,9.595788,21.17579,
42241.36,3.22671,19.52485,46.21756,995.3694,21.62782,-0.3345266,9.617018,19.22266,3.036534,18.56034,41.86435,803.5526,9.595788,21.17579,
42241.67,3.208508,19.46501,46.1363,992.5093,21.62562,-0.3039742,9.617018,19.22266,3.052845,18.66635,42.21081,814.5853,9.595788,21.17579,
42241.96,3.191561,19.33572,45.7229,981.5458,21.57475,-0.3180641,9.617018,19.22266,3.043102,18.61434,41.97258,809.9828,9.595788,21.17579,
42242.26,3.152179,19.08979,45.11473,969.9326,21.6003,-0.3169989,9.617018,19.22266,3.034143,18.54347,41.77026,803.1707,9.595788,21.17579,
42242.56,3.214952,19.53004,46.37475,1000.077,21.63183,-0.2911916,9.617018,19.22266,3.045225,18.60648,42.03038,809.3007,9.595788,21.17579,
42242.88,3.197181,19.40784,46.05619,992.6017,21.62648,-0.3149169,9.617018,19.22266,3.050034,18.65285,42.1631,814.6019,9.595788,21.17579,
42243.19,3.162899,19.18029,45.31683,973.4364,21.65712,-0.295404,9.617018,19.22266,3.039159,18.5889,41.90172,807.9011,9.595788,21.17579,
42243.47,3.200177,19.36695,45.86137,988.5638,21.61351,-0.3508438,9.617018,19.22266,3.034347,18.54941,41.79071,803.0801,9.595788,21.17579,
42243.76,3.200472,19.38033,45.90695,988.849,21.67345,-0.3141422,9.617018,19.22266,3.047505,18.62252,42.05811,809.5974,9.595788,21.17579,
42244.05,3.220564,19.50041,46.17197,994.2686,21.65158,-0.3224702,9.617018,19.22266,3.058279,18.6996,42.30285,817.4064,9.595788,21.17579,
42244.35,3.207148,19.42326,45.98382,991.7255,21.63003,-0.2959851,9.617018,19.22266,3.0504,18.65532,42.11703,813.7275,9.595788,21.17579,
42244.64,3.169744,19.24647,45.65208,983.5756,21.59942,-0.2890612,9.617018,19.22266,3.037902,18.56916,41.828,804.7402,9.595788,21.17579,
42244.94,3.192696,19.34994,45.90105,990.127,21.60173,-0.3288615,9.617018,19.22266,3.042876,18.59424,41.93986,806.1682,9.595788,21.17579,
42245.23,3.16724,19.19658,45.56829,984.844,21.59196,-0.3097845,9.617018,19.22266,3.053533,18.66698,42.17036,813.1443,9.595788,21.17579,
42245.54,3.148623,19.10677,45.38338,980.4933,21.59764,-0.3367538,9.617018,19.22266,3.046359,18.62432,41.99738,809.5009,9.595788,21.17579,
42245.84,3.172979,19.24437,45.70571,986.7822,21.62185,-0.3072183,9.617018,19.22266,3.04433,18.60465,41.95521,806.9775,9.595788,21.17579,
42246.14,3.190454,19.31983,45.6989,982.04,21.60437,-0.2962272,9.617018,19.22266,3.058721,18.69348,42.26398,814.9246,9.595788,21.17579,
42246.45,3.264162,19.69729,46.62902,1005.781,21.60628,-0.3296362,9.617018,19.22266,3.056084,18.6872,42.21352,815.5042,9.595788,21.17579,
42246.73,3.192823,19.32821,45.77713,987.7516,21.62805,-0.3539426,9.617018,19.22266,3.042534,18.59508,41.91836,807.3547,9.595788,21.17579,
42247.05,3.217616,19.48429,46.30014,1002.381,21.63868,-0.2909495,9.617018,19.22266,3.042726,18.59627,41.95558,806.8301,9.595788,21.17579,
42247.32,3.208951,19.4487,46.23134,999.0901,21.60483,-0.2879959,9.617018,19.22266,3.05776,18.681,42.25137,814.8204,9.595788,21.17579,
42247.64,3.191297,19.32426,45.59475,977.7465,21.68979,-0.2991323,9.617018,19.22266,3.058829,18.69658,42.27714,816.661,9.595788,21.17579,
42247.94,3.249689,19.60178,46.35355,1000.261,21.63315,-0.2846066,9.617018,19.22266,3.053437,18.66647,42.16277,813.3326,9.595788,21.17579,
42248.26,3.213163,19.50636,46.37128,1001.446,21.65307,-0.3022311,9.617018,19.22266,3.060606,18.70184,42.3139,816.7031,9.595788,21.17579,
42248.56,3.254885,19.68854,46.83757,1014.905,21.62436,-0.2803457,9.617018,19.22266,3.064415,18.73276,42.40177,820.3228,9.595788,21.17579,
42248.87,3.178337,19.27452,45.73898,987.902,21.60252,-0.3240681,9.617018,19.22266,3.051052,18.64571,42.0757,811.7495,9.595788,21.17579,
42249.53,3.202353,19.38558,46.1007,998.8533,21.63958,-0.3089129,9.617018,19.22266,3.052873,18.63816,42.098,809.6299,9.617018,21.17579,
42249.81,3.198927,19.3616,46.09827,1000.958,21.60476,-0.2871244,9.617018,19.22266,3.081214,18.83594,42.7341,829.9702,9.595788,21.17579,
42250.11,3.137993,19.03245,45.28019,981.7627,21.59393,-0.2902716,9.617018,19.22266,3.071153,18.76123,42.45042,822.7372,9.595788,21.17579,
