LoggerLight version 1.3.0, 4/29/2024 3:29:27 PM, rapid sampling mode. Time is number of seconds past midnight of 4/29/2024, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.412847E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
55800.45,0.1205473,1.807793,12.23868,466.6927,11.59474,7.882605E-02,9.617018,18.73438,1.131559,11.82179,34.39088,803.5266,9.595788,18.73438,
55800.75,9.953059E-02,1.558032,11.34444,446.9113,11.57609,0.1214347,9.617018,18.73438,1.13355,11.82822,34.39901,803.1257,9.595788,18.73438,
55801.04,8.177391E-02,1.345732,10.88935,455.3309,11.54564,0.1637529,9.617018,18.73438,1.12731,11.7759,34.17923,799.9441,9.595788,18.73438,
55801.32,7.000057E-02,1.187505,10.35645,448.8494,11.56029,0.2071847,9.617018,18.73438,1.120119,11.73573,34.15611,797.3787,9.595788,18.73438,
55801.62,5.867721E-02,1.041318,9.742597,438.4968,11.53448,0.2345898,9.617018,18.73438,1.124245,11.77682,34.25335,799.622,9.595788,18.73438,
55801.89,5.097349E-02,0.9287783,9.349346,437.0763,11.58974,0.2561363,9.617018,18.73438,1.125271,11.77256,34.24209,799.6054,9.595788,18.73438,
55802.19,5.017113E-02,0.9155368,9.272563,433.95,11.5502,0.2729861,9.617018,18.73438,1.116742,11.70421,34.00333,795.9146,9.595788,18.73438,
55802.48,4.939949E-02,0.9094734,9.3358,440.9612,11.50896,0.2477598,9.617018,18.73438,1.114886,11.64166,33.93871,792.0231,9.595788,18.73438,
55802.77,4.220357E-02,0.7978649,8.719276,424.5298,11.5518,0.3098329,9.617018,18.73438,1.11557,11.67686,33.96113,793.5482,9.595788,18.73438,
55803.07,3.432637E-02,0.6772633,8.133504,416.6408,11.54105,0.3231965,9.617018,18.73438,1.109496,11.61115,33.78104,790.0333,9.595788,18.73438,
55803.37,3.013387E-02,0.6147193,7.799902,412.5044,11.49948,0.3210661,9.617018,18.73438,1.102878,11.5472,33.62783,786.642,9.595788,18.73438,
55803.66,0.025645,0.5370169,7.25365,396.0411,11.47973,0.3434356,9.617018,18.73438,1.101553,11.53834,33.60665,785.7646,9.595788,18.73438,
55803.96,2.336985E-02,0.4949811,7.000066,393.6934,11.50804,0.3967449,9.617018,18.73438,1.103988,11.55587,33.65124,786.3046,9.595788,18.73438,
55804.27,2.201993E-02,0.477022,6.878479,391.9738,11.50868,0.4015384,9.617018,18.73438,1.104498,11.56053,33.65575,786.4046,9.595788,18.73438,
55804.57,2.013692E-02,0.441539,6.628158,384.7346,11.47702,0.3718576,9.617018,18.73438,1.104518,11.56012,33.65115,786.0938,9.595788,18.73438,
55804.88,1.903278E-02,0.4212891,6.513831,385.4025,11.50785,0.3850275,9.617018,18.73438,1.103744,11.55829,33.63781,785.6592,9.595788,18.73438,
55805.18,2.111276E-02,0.4469906,6.583028,378.6091,11.51724,0.3804761,9.617018,18.73438,1.100741,11.52324,33.51596,783.7167,9.595788,18.73438,
55805.46,1.946468E-02,0.4235255,6.46034,377.2508,11.59876,0.3799919,9.617018,18.73438,1.095033,11.46686,33.38279,780.486,9.595788,18.73438,
55805.76,0.0173883,0.3903129,6.290445,380.4176,11.54601,0.4015384,9.617018,18.73438,1.100563,11.48217,33.42108,780.6322,9.595788,18.73438,
55806.04,1.516917E-02,0.3435051,5.964273,373.2985,11.56676,0.4311708,9.617018,18.73438,1.099909,11.51655,33.50416,781.7529,9.595788,18.73438,
55806.35,1.265909E-02,0.3033318,5.675519,371.6342,11.53721,0.4563971,9.617018,18.73438,1.10256,11.53204,33.54882,782.7239,9.595788,18.73438,
55806.65,1.062067E-02,0.257401,5.28666,363.1239,11.54906,0.4857874,9.617018,18.73438,1.102874,11.54052,33.57436,783.1957,9.595788,18.73438,
55806.94,8.708745E-03,0.2171189,4.921843,357.4383,11.56112,0.5181313,9.617018,18.73438,1.102746,11.5496,33.59151,783.5172,9.595788,18.73438,
