LoggerLight version 1.3.0, 7/9/2018 1:48:24 PM, rapid sampling mode. Time is number of seconds past midnight of 7/9/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.735726E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
49721.44,0.1740017,1.848503,21.55593,1031.998,25.49966,0.4741184,9.617018,23.12891,5.485076,28.33038,71.08443,1668.86,9.617018,24.59375,
49721.74,0.185045,1.966936,23.6202,1185.491,25.52921,0.4603674,9.617018,23.12891,5.477732,28.29425,70.99532,1666.519,9.638247,24.59375,
49722.06,0.144759,1.685737,23.96903,1310.535,25.51799,0.471988,9.617018,23.12891,5.480447,28.30538,71.00497,1666.344,9.617018,24.59375,
49722.35,0.1128147,1.349797,21.71911,1279.382,25.47462,0.5080601,9.617018,23.12891,5.476796,28.29253,70.98347,1665.088,9.617018,24.59375,
49722.65,7.857532E-02,1.002851,18.71781,1174.159,25.50406,0.572651,9.617018,23.12891,5.483006,28.31532,71.02344,1666.725,9.617018,24.59375,
49722.94,7.804945E-02,0.9763541,18.9029,1218.667,25.48783,0.579236,9.617018,23.12891,5.489048,28.35189,71.09868,1669.022,9.617018,24.59375,
49723.24,6.092345E-02,0.8154229,17.69827,1199.16,25.47159,0.5913891,9.617018,23.12891,5.483809,28.31679,71.03804,1667.054,9.617018,24.59375,
49723.53,4.506242E-02,0.6434049,16.14924,1165.012,25.49879,0.629398,9.617018,23.12891,5.494669,28.38516,71.24104,1671.146,9.617018,24.59375,
49723.82,4.495038E-02,0.6328076,16.97152,1328.276,25.51111,0.6360798,9.617018,23.12891,5.483852,28.31876,71.09787,1669.589,9.617018,24.59375,
49724.12,3.163016E-02,0.4657653,13.83215,1072.28,25.53102,0.6383555,9.617018,23.12891,5.488751,28.3469,71.07403,1666.752,9.617018,24.59375,
49724.41,2.157538E-02,0.3304199,12.21821,1083.824,25.50081,0.745555,9.617018,23.12891,5.493059,28.37639,71.21786,1671.421,9.617018,24.59375,
49724.71,1.731421E-02,0.2729469,12.63025,1279.319,25.49663,0.7978475,9.617018,23.12891,5.492493,28.37068,71.1562,1670.657,9.617018,24.59375,
49725,1.285968E-02,0.1949658,10.24444,1076.244,25.5129,0.8195392,9.617018,23.12891,5.496374,28.39468,71.26991,1673.263,9.617018,24.59375,
49725.3,1.044357E-02,0.1625824,9.864424,1121.695,25.49829,0.8762869,9.617018,23.12891,5.493099,28.36989,71.26553,1673.496,9.617018,24.59375,
49725.61,8.954512E-03,0.1347058,11.12181,1593.989,25.53606,0.9233016,9.617018,23.12891,5.495544,28.38624,71.2485,1673.162,9.617018,24.59375,
49725.91,5.159576E-03,6.016416E-02,5.465396,715.4849,25.47248,1.014813,9.617018,23.12891,5.486727,28.34042,71.08498,1670.223,9.617018,24.59375,
49726.21,6.234808E-03,5.713926E-02,6.749095,1101.25,25.47317,1.066573,9.617018,23.12891,5.492991,28.37702,71.24245,1672.76,9.617018,24.59375,
49726.5,4.695149E-03,4.028821E-02,4.837955,766.9063,25.46688,1.073449,9.617018,23.12891,5.493337,28.37483,71.21743,1673.04,9.617018,24.59375,
49726.82,4.754784E-03,4.359861E-02,5.920868,1038.751,25.50308,1.114121,9.617018,23.12891,5.496312,28.38911,71.23412,1673.434,9.617018,24.59375,
49727.09,4.380711E-03,3.121353E-02,4.406341,767.5509,25.50261,1.160845,9.617018,23.12891,5.49634,28.39838,71.29324,1675.2,9.617018,24.59375,
49727.41,4.480103E-03,2.568715E-02,4.371,868.384,25.52395,1.226162,9.617018,23.12891,5.488686,28.34413,71.22721,1673.881,9.617018,24.59375,
49727.69,4.022903E-03,0.019515,4.020929,918.4126,25.50377,1.295208,9.617018,23.12891,5.485941,28.3359,71.14107,1670.717,9.617018,24.59375,
49728,4.223492E-03,0.0140158,3.429322,989.135,25.44335,1.35118,9.617018,23.12891,5.482653,28.31486,71.12599,1670.988,9.617018,24.59375,
49728.3,3.560282E-03,1.105888E-02,2.767288,869.5634,25.41343,1.443224,9.617018,23.12891,5.47701,28.2882,70.99883,1667.081,9.617018,24.59375,
49728.59,3.69943E-03,8.74093E-03,2.419957,789.4363,25.36218,1.464916,9.617018,23.12891,5.488591,28.35199,71.17773,1671.745,9.617018,24.59375,
49728.89,4.019289E-03,9.006033E-03,2.159946,807.7739,25.32339,1.501182,9.617018,23.12891,5.482704,28.31732,71.1339,1671.216,9.617018,24.59375,
49729.2,3.668709E-03,6.953182E-03,2.018626,910.9011,25.28703,1.597148,9.617018,23.12891,5.467311,28.24337,70.83193,1663.18,9.617018,24.59375,
49729.47,4.089766E-03,5.627666E-03,1.56105,752.9566,25.25344,1.658495,9.617018,23.12891,5.471366,28.26213,70.9161,1664.552,9.617018,24.59375,
49729.77,3.815085E-03,3.418472E-03,1.458249,738.0875,25.2648,1.696649,9.617018,23.12891,5.4834,28.3184,71.09418,1668.956,9.617018,24.59375,
49730.07,3.491612E-03,7.007562E-03,1.241079,782.1884,25.19601,1.766518,9.617018,23.12891,5.467809,28.24938,70.85123,1663.779,9.617018,24.59375,
49730.38,3.95604E-03,5.47812E-03,0.9734549,724.7659,25.12707,1.876961,9.617018,23.12891,5.461253,28.21458,70.74815,1661.064,9.617018,24.59375,
49730.7,3.356079E-03,5.817996E-03,0.8647357,669.9184,25.14338,1.886742,9.617018,23.12891,5.472134,28.2681,70.95449,1665.284,9.617018,24.59375,
49731,3.587389E-03,6.259835E-03,0.7522026,643.5467,25.05898,1.935355,9.617018,23.12891,5.484408,28.33238,71.07655,1670.282,9.617018,24.59375,
